team,rosterNumber,assist,steal,score,reb
 Grandpa Juice,2,1.4,0.2,1.8,1.6
 Grandpa Juice,6,4.33,2.17,10.17,6.33
 Grandpa Juice,7,2.88,1.62,11.12,2.25
 Grandpa Juice,8,3.33,3.67,11.67,5.67
 Grandpa Juice,10,0.83,0.33,12.33,6.0
 Grandpa Juice,11,2.0,0.0,2.0,1.0
 Grandpa Juice,15,3.29,0.86,12.86,4.14
 Grandpa Juice,16,0.0,0.0,1.33,1.33
 Grandpa Juice,21,0.0,1.0,8.0,3.0
 Grandpa Juice,25,2.17,1.5,3.17,7.5
 Grandpa Juice,34,2.29,1.0,13.57,8.14
 Grandpa Juice,55,0.0,1.0,2.0,1.0
 Grandpa Juice,91,3.17,0.83,16.67,8.17
 Grandpa Juice,99,1.0,1.0,5.33,8.33
BGG的贊助商是明龍汽車,1,1.29,1.0,6.14,6.57
BGG的贊助商是明龍汽車,2,0.0,0.0,0.0,2.0
BGG的贊助商是明龍汽車,3,0.56,0.62,2.62,4.06
BGG的贊助商是明龍汽車,5,0.0,0.0,0.0,1.0
BGG的贊助商是明龍汽車,7,0.0,1.0,0.0,0.0
BGG的贊助商是明龍汽車,8,1.0,1.6,1.8,3.8
BGG的贊助商是明龍汽車,9,5.0,2.17,7.67,5.83
BGG的贊助商是明龍汽車,10,2.0,0.86,3.86,4.43
BGG的贊助商是明龍汽車,11,3.5,2.0,5.5,3.12
BGG的贊助商是明龍汽車,12,1.43,0.57,5.57,4.29
BGG的贊助商是明龍汽車,17,3.0,1.5,9.0,9.0
BGG的贊助商是明龍汽車,18,0.0,1.0,0.67,3.0
BGG的贊助商是明龍汽車,23,0.0,0.0,0.0,1.0
BGG的贊助商是明龍汽車,24,3.2,1.9,12.9,5.0
BGG的贊助商是明龍汽車,28,1.2,1.4,4.7,2.0
BGG的贊助商是明龍汽車,30,1.17,0.83,9.42,9.42
BGG的贊助商是明龍汽車,40,0.0,0.0,0.0,0.0
BGG的贊助商是明龍汽車,41,1.93,1.29,15.14,9.29
BGG的贊助商是明龍汽車,88,0.33,0.0,0.0,1.33
BGG的贊助商是明龍汽車,91,1.71,1.07,9.86,2.07
BGG的贊助商是明龍汽車,98,1.0,0.0,4.0,3.0
BGG的贊助商是明龍汽車,99,1.7,1.6,9.3,10.5
Big Dix,0,2.0,1.0,5.0,5.0
